Date&Time,Cloudfactor,Windspeed,powerProduction_WindTurbinePowerPlant@16/7_Bus0,powerProductionOptimal_WindTurbinePowerPlant@16/7_Bus0,powerProduction_WindTurbinePowerPlant@24/7_Bus0,powerProductionOptimal_WindTurbinePowerPlant@24/7_Bus0,powerProduction_SolarPowerPlant@12/5_Bus0,powerProductionOptimal_SolarPowerPlant@12/5_Bus0,powerProduction_SolarPowerPlant@20/7_Bus0,powerProductionOptimal_SolarPowerPlant@20/7_Bus0,Column1
2017.09.07   02.00,0.765,2.683,154.751,400,186.7167,500,0,250,0,300,
2017.09.07   03.00,0.791,1.975,18.5569,400,20.6894,500,0,250,0,300,
2017.09.07   04.00,0.555,2.168,33.0829,400,37.6876,500,0,250,0,300,
2017.09.07   05.00,0.747,1.548,5.1637,400,5.4893,500,0,250,0,300,
2017.09.07   06.00,0.92,1.54,5.0415,400,5.3545,500,0,250,0,300,
2017.09.07   07.00,0.677,1.67,7.442,400,8.0196,500,0,250,0,300,
2017.09.07   08.00,0.579,1.919,15.6909,400,17.3851,500,0,250,0,300,
2017.09.07   09.00,0.391,1.439,3.7252,400,3.9122,500,0,250,0,300,
2017.09.07   10.00,0.248,1.939,16.6597,400,18.4998,500,1.8656,250,0.0227,300,
2017.09.07   11.00,0.307,1.749,9.4291,400,10.251,500,77.94,250,93.5457,300,
2017.09.07   12.00,0.169,1.475,4.1494,400,4.3753,500,146.8628,250,191.7008,300,
2017.09.07   13.00,0.018,3.476,400,400,500,500,205.1282,250,267.041,300,
2017.09.07   14.00,0,1.487,4.3013,400,4.5415,500,226.8891,250,293.5787,300,
2017.09.07   15.00,0.168,1.251,2.1211,400,2.1813,500,197.1061,250,253.9233,300,
2017.09.07   16.00,0.13,1.23,1.9918,400,2.0435,500,210.0566,250,269.9533,300,
2017.09.07   17.00,0.051,1.166,1.6443,400,1.675,500,229.1389,250,294.2963,300,
2017.09.07   18.00,0.084,1.649,6.9883,400,7.513,500,217.0301,250,279.0292,300,
2017.09.07   19.00,0.261,2.141,30.5123,400,34.6547,500,167.703,250,216.1159,300,
2017.09.07   20.00,0.106,2.282,46.5501,400,53.7081,500,186.7971,250,241.2373,300,
2017.09.07   21.00,0,2.664,146.1887,400,176.0123,500,176.7839,250,226.4207,300,
2017.09.07   22.00,0.096,1.695,8.0208,400,8.6675,500,101.6282,250,111.4174,300,
2017.09.07   23.00,0,0.401,0,400,0,500,2.399,250,0.0094,300,
2017.09.08   00.00,0.275,1.106,1.3738,400,1.3901,500,0,250,0,300,
2017.09.08   01.00,0.37,1.258,2.166,400,2.2293,500,0,250,0,300,
2017.09.08   02.00,0.42,0.128,0,400,0,500,0,250,0,300,
2017.09.08   03.00,0.273,2.608,123.6108,400,147.9013,500,0,250,0,300,
2017.09.08   04.00,0.51,2.276,45.7209,400,52.7161,500,0,250,0,300,
2017.09.08   05.00,0.316,2.041,22.6137,400,25.3988,500,0,250,0,300,
2017.09.08   06.00,0.271,1.812,11.3877,400,12.4676,500,0,250,0,300,
2017.09.08   07.00,0.429,3.404,400,400,500,500,0,250,0,300,
2017.09.08   08.00,0.344,3.8,400,400,500,500,0,250,0,300,
2017.09.08   09.00,0.193,3.241,400,400,500,500,0,250,0,300,
2017.09.08   10.00,0.029,2.049,23.1622,400,26.0381,500,1.9027,250,0.0281,300,
2017.09.08   11.00,0,1.638,6.7617,400,7.2606,500,110.5104,250,134.6545,300,
2017.09.08   12.00,0,2.066,24.3724,400,27.4506,500,175.776,250,230.5688,300,
2017.09.08   13.00,0.05,1.856,12.9922,400,14.2942,500,197.8667,250,258.2671,300,
2017.09.08   14.00,0,1.599,6.0161,400,6.4319,500,226.4256,250,293.5087,300,
2017.09.08   15.00,0.254,1.416,3.4772,400,3.6424,500,176.4308,250,227.6179,300,
2017.09.08   16.00,0.12,0.979,0,400,0,500,212.126,250,272.9711,300,
2017.09.08   17.00,0.046,2.57,110.3106,400,131.4291,500,229.9478,250,295.726,300,
2017.09.08   18.00,0,2.249,42.1683,400,48.4738,500,236.4469,250,304.4416,300,
2017.09.08   19.00,0,2.311,50.7751,400,58.7726,500,226.313,250,292.1837,300,
2017.09.08   20.00,0.181,1.765,9.8921,400,10.7735,500,170.4041,250,220.6495,300,
2017.09.08   21.00,0.112,2.209,37.4063,400,42.8082,500,155.686,250,200.3181,300,
2017.09.08   22.00,0,1.167,1.6492,400,1.6802,500,109.3525,250,120.9065,300,
2017.09.08   23.00,0.248,1.779,10.3158,400,11.2525,500,1.2495,250,0.0057,300,
2017.09.09   00.00,0.26,1.338,2.7526,400,2.8584,500,0,250,0,300,
2017.09.09   01.00,0.049,2.218,38.4286,400,44.0223,500,0,250,0,300,
2017.09.09   02.00,0,3.063,400,400,500,500,0,250,0,300,
2017.09.09   03.00,0.097,2.09,26.1892,400,29.576,500,0,250,0,300,
2017.09.09   04.00,0.328,1.965,18.0092,400,20.0564,500,0,250,0,300,
2017.09.09   05.00,0.184,1.677,7.5997,400,8.196,500,0,250,0,300,
2017.09.09   06.00,0,2.201,36.5205,400,41.7572,500,0,250,0,300,
2017.09.09   07.00,0.028,2.233,40.1948,400,46.1227,500,0,250,0,300,
2017.09.09   08.00,0.186,1.009,1.0273,400,1.0284,500,0,250,0,300,
2017.09.09   09.00,0.123,2.719,172.3735,400,208.8165,500,0,250,0,300,
2017.09.09   10.00,0,1.802,11.0516,400,12.0861,500,1.5381,250,0.0276,300,
2017.09.09   11.00,0.059,2.513,92.9947,400,110.0958,500,102.1074,250,126.3953,300,
2017.09.09   12.00,0.261,1.566,5.4498,400,5.8051,500,129.1796,250,170.3005,300,
2017.09.09   13.00,0.48,0.851,0,400,0,500,107.9842,250,141.3259,300,
2017.09.09   14.00,0.678,1.503,4.5125,400,4.773,500,72.757,250,94.486,300,
2017.09.09   15.00,0.688,2.579,113.3252,400,135.1565,500,73.6602,250,95.1711,300,
2017.09.09   16.00,0.638,3.314,400,400,500,500,87.1162,250,112.2539,300,
2017.09.09   17.00,0.511,1.757,9.6578,400,10.509,500,117.6581,250,151.5187,300,
2017.09.09   18.00,0.596,2.009,20.5466,400,22.9948,500,95.3243,250,122.9215,300,
2017.09.09   19.00,0.424,0.791,0,400,0,500,129.9919,250,168.1442,300,
2017.09.09   20.00,0.624,1.27,2.2453,400,2.314,500,77.8927,250,101.1353,300,
2017.09.09   21.00,0.812,1.263,2.1987,400,2.2642,500,32.6783,250,42.2489,300,
2017.09.09   22.00,0.953,2.098,26.8245,400,30.3204,500,4.9905,250,5.5698,300,
2017.09.09   23.00,0.914,2.395,65.3036,400,76.3012,500,0.0976,250,0.0005,300,
2017.09.10   00.00,1,1.562,5.3849,400,5.7334,500,0,250,0,300,
2017.09.10   01.00,0.859,1.382,3.1405,400,3.2772,500,0,250,0,300,
2017.09.10   02.00,0.623,1.927,16.0714,400,17.8227,500,0,250,0,300,
2017.09.10   03.00,0.407,1.383,3.1499,400,3.2874,500,0,250,0,300,
2017.09.10   04.00,0.457,2.345,56.2193,400,65.3217,500,0,250,0,300,
2017.09.10   05.00,0.419,2.12,28.6519,400,32.4656,500,0,250,0,300,
2017.09.10   06.00,0.36,1.568,5.4826,400,5.8413,500,0,250,0,300,
2017.09.10   07.00,0.316,1.973,18.446,400,20.5612,500,0,250,0,300,
2017.09.10   08.00,0.082,1.316,2.5771,400,2.6696,500,0,250,0,300,
2017.09.10   09.00,0.312,1.127,1.463,400,1.4838,500,0,250,0,300,
2017.09.10   10.00,0.097,2.492,87.3246,400,103.1411,500,1.0844,250,0.0239,300,
2017.09.10   11.00,0.283,1.647,6.9465,400,7.4665,500,76.3345,250,96.066,300,
2017.09.10   12.00,0.166,2.501,89.7111,400,106.0662,500,144.9586,250,192.0883,300,
2017.09.10   13.00,0,1.753,9.5428,400,10.3792,500,207.0315,250,271.6974,300,
2017.09.10   14.00,0,2.054,23.5118,400,26.4458,500,225.4721,250,293.3574,300,
2017.09.10   15.00,0.016,1.398,3.2947,400,3.4443,500,231.8999,250,300.0704,300,
2017.09.10   16.00,0,2.347,56.5571,400,65.7289,500,240.2447,250,309.989,300,
2017.09.10   17.00,0.155,3.352,400,400,500,500,202.9479,250,261.7123,300,
2017.09.10   18.00,0.366,2.647,138.9301,400,166.9559,500,149.2725,250,192.7838,300,
2017.09.10   19.00,0.206,2.022,21.3625,400,23.9427,500,178.6773,250,231.5653,300,
2017.09.10   20.00,0.393,1.177,1.6994,400,1.7332,500,125.1869,250,162.9983,300,
2017.09.10   21.00,0.6,2.307,50.1702,400,58.0466,500,68.9115,250,89.5418,300,
2017.09.10   22.00,0.531,1.867,13.4274,400,14.7912,500,48.2601,250,54.4269,300,
2017.09.10   23.00,0.585,1.676,7.577,400,8.1706,500,0.3185,250,0.002,300,
2017.09.11   00.00,0.531,1.915,15.504,400,17.1703,500,0,250,0,300,
2017.09.11   01.00,0.441,2.798,218.3997,400,266.9157,500,0,250,0,300,
2017.09.11   02.00,0.461,1.777,10.2542,400,11.1828,500,0,250,0,300,
2017.09.11   03.00,0.327,2.341,55.5496,400,64.5148,500,0,250,0,300,
2017.09.11   04.00,0.441,2.216,38.199,400,43.7496,500,0,250,0,300,
2017.09.11   05.00,0.364,1.502,4.499,400,4.7582,500,0,250,0,300,
2017.09.11   06.00,0.509,1.462,3.991,400,4.2021,500,0,250,0,300,
2017.09.11   07.00,0.536,2.002,20.1202,400,22.5001,500,0,250,0,300,
2017.09.11   08.00,0.7,2.009,20.5466,400,22.9948,500,0,250,0,300,
2017.09.11   09.00,0.649,1.079,1.267,400,1.2782,500,0,250,0,300,
2017.09.11   10.00,0.673,1.769,10.0113,400,10.9082,500,0.3053,250,0.0083,300,
2017.09.11   11.00,0.542,1.274,2.2724,400,2.3429,500,47.8025,250,61.2084,300,
2017.09.11   12.00,0.774,1.77,10.0414,400,10.9422,500,39.0528,250,52.0234,300,
2017.09.11   13.00,0.753,1.311,2.5388,400,2.6284,500,50.9782,250,67.0877,300,
2017.09.11   14.00,0.814,2.774,203.2484,400,247.7344,500,41.8466,250,54.5493,300,
2017.09.11   15.00,0.941,2.065,24.2995,400,27.3654,500,13.8793,250,17.9867,300,
2017.09.11   16.00,1,0.779,0,400,0,500,0,250,0,300,
2017.09.11   17.00,0.988,2.027,21.6849,400,24.3176,500,2.8768,250,3.715,300,
2017.09.11   18.00,1,0.496,0,400,0,500,0,250,0,300,
2017.09.11   19.00,0.987,2.689,157.5577,400,190.2305,500,2.9169,250,3.7877,300,
2017.09.11   20.00,0.793,2.339,55.2178,400,64.1151,500,42.496,250,55.4916,300,
2017.09.11   21.00,0.983,1.606,6.1436,400,6.5734,500,2.9018,250,3.7904,300,
2017.09.11   22.00,0.951,2.039,22.4786,400,25.2415,500,4.876,250,5.5632,300,
2017.09.11   23.00,1,2.687,156.6165,400,189.052,500,0,250,0,300,
2017.09.12   00.00,0.862,1.59,5.8561,400,6.2546,500,0,250,0,300,
2017.09.12   01.00,0.773,2.562,107.6983,400,128.2022,500,0,250,0,300,
2017.09.12   02.00,0.727,0.818,0,400,0,500,0,250,0,300,
2017.09.12   03.00,0.635,1.44,3.7364,400,3.9244,500,0,250,0,300,
2017.09.12   04.00,0.694,1.977,18.6684,400,20.8184,500,0,250,0,300,
2017.09.12   05.00,0.718,2.458,78.8682,400,92.8003,500,0,250,0,300,
